,x,y
0,0,1.0
1,1,1.8364220040888772
2,2,0.11474934262457515
3,3,-0.9885802376400411
4,4,-0.9157669928598493
5,5,-0.947272644644597
6,6,0.41246832945122264
7,7,1.906192530909529
8,8,0.6999065544822356
9,9,-0.8745054000287584
10,10,-0.9266200146020083
11,11,-0.9999901632078546
12,12,-0.1455081402712547
13,13,1.7088930435166385
14,14,1.2627974680566385
15,15,-0.6034158847481355
16,16,-0.9698494563676047
17,17,-0.9720194868711418
18,18,-0.586559965249154
19,19,1.2867661172043143
20,20,1.693583892780694
21,21,-0.1693343956460292
22,22,-0.9999611731323342
23,23,-0.9281592506841636
24,24,-0.8655266853314602
25,25,0.7276636349137362
26,26,1.9027915688284858
27,27,0.38484259524485875
28,28,-0.9524755790491535
29,29,-0.9152550898596994
30,30,-0.986185484756386
31,31,0.14111436415685485
32,32,1.8456630608465963
33,33,0.9733595358722242
34,34,-0.768451429009227
35,35,-0.9449295338087134
36,36,-0.9928308616895024
37,37,-0.37069721164577984
38,38,1.5344960412057702
39,39,1.4874275466377926
40,40,-0.4187692281346007
41,41,-0.9893475551119928
42,42,-0.9499117028673391
43,43,-0.7383906646100025
44,44,1.035244385119935
45,45,1.8232238451521272
46,46,0.0798773679561286
47,47,-0.9913883391395318
48,48,-0.9166051280756939
49,49,-0.9398510450110462
50,50,0.44940835423330516
51,51,1.9097967683363606
52,52,0.6628256096635143
53,53,-0.8859288860707111
54,54,-0.9246896290058738
55,55,-0.9997497561391996
56,56,-0.11332869654774441
57,57,1.728521776557674
58,58,1.2303834802154994
59,59,-0.625318300358749
60,60,-0.9669180094112159
61,61,-0.9748628289984634
62,62,-0.5635170277702263
63,63,1.3182476947222477
64,64,1.6724021238772064
65,65,-0.20067814684144947
66,66,-0.9996568164172878
67,67,-0.9303273705348533
68,68,-0.8530012615546949
69,69,0.7645794361886538
70,70,1.8973297143643446
71,71,0.3481344215046007
72,72,-0.9589380224610807
73,73,-0.9147300885537366
74,74,-0.9825956157996081
75,75,0.17653141950073653
76,76,1.857099229880169
77,77,0.9375849582214862
78,78,-0.7847169466648432
79,79,-0.9421715672347438
80,80,-0.9945632685729203
81,81,-0.34242718764951247
82,82,1.5603728693272325
83,83,1.4595503609376517
