,x,y
0,0.0,2.7
1,0.01,2.79930112
2,0.02,2.59720896
3,0.03,3.89373024
4,0.04,4.58887168
5,0.05,3.48264
6,0.06,4.77504192
7,0.07,4.86608416
8,0.08,3.45577344
9,0.09,3.2441164799999997
10,0.1,4.83112
11,0.11,3.4167907200000003
12,0.12,3.5011353599999997
13,0.13,5.08416064
14,0.14,3.66587328
15,0.15,5.54628
16,0.16,2.92538752
17,0.17,4.50320256
18,0.18,5.4797318399999995
19,0.19,4.35498208
20,0.2,5.92896
21,0.21,5.10167232
22,0.22,6.073125760000001
23,0.23,5.24332704
24,0.24,5.31228288
25,0.25,3.88
26,0.26,5.446485119999999
27,0.27,3.71174496
28,0.28,6.475786240000001
29,0.29,4.43861568
30,0.3,6.00024
31,0.31,4.56066592
32,0.32,5.519900160000001
33,0.33,4.37794944
34,0.34,6.5348204800000005
35,0.35000000000000003,4.49052
36,0.36,5.44505472
37,0.37,6.09843136
38,0.38,4.650656639999999
39,0.39,6.50173728
40,0.4,7.15168
41,0.41000000000000003,6.3004915200000005
42,0.42,4.84817856
43,0.43,4.59474784
44,0.44,5.24020608
45,0.45,5.584560000000001
46,0.46,5.02781632
47,0.47000000000000003,6.26998176
48,0.48,4.8110630400000005
49,0.49,5.15106688
50,0.5,5.790000000000001
51,0.51,4.9278691199999995
52,0.52,6.76468096
53,0.53,5.300442240000001
54,0.54,5.335159679999999
55,0.55,7.76884
56,0.56,6.301489920000001
57,0.5700000000000001,5.133116160000001
58,0.58,6.96372544
59,0.59,6.993324479999999
60,0.6,7.621919999999999
61,0.61,7.049518719999999
62,0.62,5.27612736
63,0.63,7.7017526400000005
64,0.64,6.22640128
65,0.65,6.85008
66,0.66,7.47279552
67,0.67,5.3945545599999996
68,0.68,7.81536384
69,0.6900000000000001,7.23523008
70,0.7000000000000001,6.95416
71,0.71,7.27216032
72,0.72,7.8892377599999985
73,0.73,7.905399040000001
74,0.74,7.92065088
75,0.75,5.535
76,0.76,7.348453119999999
77,0.77,7.06101696
78,0.78,7.9726982400000015
79,0.79,7.08350368
80,0.8,7.393439999999999
81,0.81,7.102513920000001
82,0.8200000000000001,6.210732160000001
83,0.8300000000000001,5.91810144
84,0.84,5.624628480000001
85,0.85,7.43032
86,0.86,6.835182720000001
87,0.87,5.639223359999999
88,0.88,6.542448640000002
89,0.89,7.444865279999999
90,0.9,7.74648
91,0.91,7.447299519999999
92,0.92,8.347330560000001
93,0.93,5.946579839999999
94,0.9400000000000001,6.545054080000001
95,0.9500000000000001,6.54276
96,0.96,7.139704320000001
97,0.97,7.73589376
98,0.98,7.731335040000001
99,0.99,5.626034880000001
100,1.0,5.62
101,1.01,7.713237119999999
102,1.02,6.505752959999999
103,1.03,6.497554240000001
104,1.04,5.58864768
105,1.05,7.679039999999999
106,1.06,7.668737920000001
107,1.07,6.457748160000001
108,1.08,6.74607744
109,1.09,8.233732479999999
110,1.1,8.220719999999998
111,1.11,8.207046720000001
112,1.12,7.892719360000001
113,1.1300000000000001,5.47774464
114,1.1400000000000001,5.462129280000002
115,1.1500000000000001,7.2458800000000005
116,1.16,7.8290035200000005
117,1.17,6.011506560000001
118,1.18,5.69339584
119,1.19,7.174678079999999
120,1.2,8.055359999999999
121,1.21,8.035448320000002
122,1.22,7.714949760000001
123,1.23,5.293871040000003
124,1.24,5.2722188800000005
125,1.25,6.45
126,1.26,7.027221119999999
127,1.27,7.903888959999999
128,1.28,6.38001024
129,1.29,5.755591679999998
130,1.3,7.53064
131,1.31,7.20516192
132,1.32,5.679164159999999
133,1.33,5.65265344
134,1.34,6.2256364799999995
135,1.35,5.598119999999998
136,1.36,5.870110720000001
137,1.37,6.741615360000002
138,1.3800000000000001,6.1126406399999995
139,1.3900000000000001,6.383193280000002
140,1.4000000000000001,6.65328
141,1.41,6.622907520000001
